file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\DataSphereStudio-master\dss-framework\dss-framework-workspace-server\src\main\java\com\webank\wedatasphere\dss\framework\workspace\util\WorkspaceSpringConfig.java,com.webank.wedatasphere.dss.framework.workspace.util.WorkspaceSpringConfig,class,7,7,0,7,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\DataSphereStudio-master\dss-framework\dss-framework-project-server\src\main\java\com\webank\wedatasphere\dss\framework\project\utils\ProjectStringUtils.java,com.webank.wedatasphere.dss.framework.project.utils.ProjectStringUtils,class,2,4,2,2,7,1,0,17,4,0.75,0.33333334,0.33333334,4,4,3,1,0,0,3,0,0,0,4,4,2,2,0,0,4,0,6,30,7,0,0,1,0,5,0,4,0,6,1,0,0,2,41,1,1
C:\DataSphereStudio-master\dss-apps\dss-data-api\dss-data-api-server\src\main\java\com\webank\wedatasphere\dss\data\api\server\entity\response\ApiCallInfoByFailRate.java,com.webank.wedatasphere.dss.data.api.server.entity.response.ApiCallInfoByFailRate,class,1,4,3,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,1,0
C:\DataSphereStudio-master\dss-apps\dss-data-api\dss-data-api-server\src\main\java\com\webank\wedatasphere\dss\data\api\server\service\ApiManagerService.java,com.webank.wedatasphere.dss.data.api.server.service.ApiManagerService,interface,1,4,3,1,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-migrate-server\src\main\java\com\webank\wedatasphere\dss\migrate\service\impl\MetaReader.java,com.webank.wedatasphere.dss.migrate.service.impl.MetaReader,class,3,5,2,3,31,1,0,44,42,0.84090906,0.16666667,0.16666667,12,1,4,8,0,0,4,0,0,0,11,0,0,11,0,0,2,0,11,126,10,2,1,3,1,20,6,35,3,25,5,0,0,1,60,1,2
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-workflow-common\src\main\java\com\webank\wedatasphere\dss\workflow\common\entity\FileFlowVersion.java,com.webank.wedatasphere.dss.workflow.common.entity.FileFlowVersion,interface,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\DataSphereStudio-master\dss-framework\dss-framework-workspace-server\src\main\java\com\webank\wedatasphere\dss\framework\workspace\bean\vo\SidebarContentVO.java,com.webank.wedatasphere.dss.framework.workspace.bean.vo.SidebarContentVO,class,0,2,2,0,10,1,0,0,35,0.8,0.11111111,0.11111111,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,0,0,0,37,5,0,0,0,0,0,0,5,0,5,0,0,0,0,16,1,0
C:\DataSphereStudio-master\dss-orchestrator\dss-orchestrator-common\src\main\java\com\webank\wedatasphere\dss\orchestrator\common\protocol\RequestImportOrchestrator.java,com.webank.wedatasphere.dss.orchestrator.common.protocol.RequestImportOrchestrator,class,2,6,4,2,21,1,0,0,158,0.8666667,0.123809524,0.6571429,21,0,21,0,0,0,21,0,0,0,10,0,0,10,0,0,0,0,0,82,10,0,0,0,0,0,0,18,0,10,0,0,0,0,25,1,0
C:\DataSphereStudio-master\dss-framework\dss-framework-admin-service\src\main\java\com\webank\wedatasphere\dss\framework\admin\util\OkHttpHelper.java,com.webank.wedatasphere.dss.framework.admin.util.OkHttpHelper$HttpHelperHolder,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,10,0
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-workflow-server\src\main\java\com\webank\wedatasphere\dss\workflow\service\WorkflowNodeService.java,com.webank.wedatasphere.dss.workflow.service.WorkflowNodeService,interface,4,10,6,4,11,1,0,0,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0
