file,class,method,variable,usage
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryBml/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",bmlCache,3
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryBml/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",client,2
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryParamList/2[java.lang.String,java.lang.Long]",apiServiceDao,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryParamList/2[java.lang.String,java.lang.Long]",apiServiceParamDao,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryParamList/2[java.lang.String,java.lang.Long]",apiServiceVersionDao,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryConfigParam/2[long,java.lang.String]",configParamCache,3
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryConfigParam/2[long,java.lang.String]",apiServiceParamDao,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryConfigParam/2[long,java.lang.String]",apiServiceVersionDao,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryByVersionId/2[java.lang.String,java.lang.Long]",apiServiceTokenManagerDao,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryByVersionId/2[java.lang.String,java.lang.Long]",apiServiceDao,1
