file,class,method,variable,usage
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",job,10
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",collect,3
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryBml/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",scriptPath,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryBml/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",resourceId,3
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryBml/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",resource,4
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryBml/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",inputStream,2
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryBml/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",fileSource,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryBml/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",userName,2
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryBml/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",version,3
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"queryBml/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",collect,7
